Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
TRIS3,05/01/2021,11.71,02/07/2020,31/12/2020,10.85,12/01/2021,5,0.4562,0.0160,0.5278,1,1,1
TRIS3,06/01/2021,11.3,03/07/2020,05/01/2021,11.45,16/01/2021,8,0.4482,0.0160,0.5358,0,1,1
TRIS3,07/01/2021,10.8,04/07/2020,06/01/2021,10.98,14/01/2021,5,0.4403,0.0160,0.5437,0,0,0
TRIS3,08/01/2021,10.65,07/07/2020,07/01/2021,11.49,15/01/2021,5,0.4323,0.0160,0.5517,0,0,0
TRIS3,09/01/2021,11.22,08/07/2020,08/01/2021,11.45,16/01/2021,5,0.4268,0.0160,0.5572,0,0,0
TRIS3,12/01/2021,10.85,09/07/2020,09/01/2021,11.22,19/01/2021,5,0.4400,0.0160,0.5440,0,0,0
TRIS3,13/01/2021,11.22,10/07/2020,12/01/2021,10.41,23/01/2021,8,0.4243,0.0160,0.5597,1,1,1
TRIS3,14/01/2021,10.98,11/07/2020,13/01/2021,11.22,21/01/2021,5,0.4346,0.0160,0.5494,0,1,1
TRIS3,15/01/2021,11.49,14/07/2020,14/01/2021,10.69,28/01/2021,8,0.4243,0.0160,0.5597,1,1,1
TRIS3,16/01/2021,11.45,15/07/2020,15/01/2021,10.41,23/01/2021,5,0.4346,0.0160,0.5494,1,1,1
TRIS3,19/01/2021,11.22,16/07/2020,16/01/2021,10.8,30/01/2021,8,0.4243,0.0160,0.5597,1,1,0
TRIS3,20/01/2021,11.22,17/07/2020,19/01/2021,11.2,02/02/2021,8,0.4164,0.0160,0.5677,1,0,0
TRIS3,21/01/2021,11.22,18/07/2020,20/01/2021,11.33,09/02/2021,12,0.4127,0.0317,0.5556,0,1,1
TRIS3,22/01/2021,10.84,21/07/2020,21/01/2021,10.22,19/02/2021,17,0.4048,0.0397,0.5556,1,1,1
TRIS3,23/01/2021,10.41,22/07/2020,22/01/2021,11.38,05/02/2021,8,0.4050,0.0301,0.5649,0,0,0
TRIS3,27/01/2021,10.49,23/07/2020,23/01/2021,11.22,06/02/2021,8,0.4050,0.0301,0.5649,0,0,0
TRIS3,28/01/2021,10.69,24/07/2020,27/01/2021,11.33,09/02/2021,8,0.4206,0.0300,0.5494,0,0,1
TRIS3,29/01/2021,10.91,25/07/2020,28/01/2021,10.97,10/02/2021,8,0.4286,0.0300,0.5414,0,1,1
TRIS3,30/01/2021,10.8,28/07/2020,29/01/2021,10.5,11/02/2021,8,0.4367,0.0300,0.5333,1,1,1
TRIS3,02/02/2021,11.2,29/07/2020,30/01/2021,10.59,12/02/2021,8,0.4272,0.0301,0.5427,1,1,1
TRIS3,03/02/2021,11.36,30/07/2020,02/02/2021,10.58,13/02/2021,8,0.4347,0.0300,0.5352,1,1,1
TRIS3,04/02/2021,11.45,31/07/2020,03/02/2021,10.39,18/02/2021,8,0.4347,0.0300,0.5352,1,1,1
TRIS3,05/02/2021,11.38,01/08/2020,04/02/2021,10.22,19/02/2021,8,0.4367,0.0300,0.5333,1,1,1
