Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
TRPL4,05/01/2021,27.74,02/07/2020,31/12/2020,27.49,12/01/2021,5,0.5574,0.0159,0.4267,0,1,1
TRPL4,06/01/2021,27.56,03/07/2020,05/01/2021,28.2,13/01/2021,5,0.5546,0.0158,0.4296,1,1,1
TRPL4,07/01/2021,27.32,04/07/2020,06/01/2021,28.26,14/01/2021,5,0.5466,0.0158,0.4376,1,1,1
TRPL4,08/01/2021,26.91,07/07/2020,07/01/2021,28.24,15/01/2021,5,0.5413,0.0159,0.4428,1,1,1
TRPL4,09/01/2021,27.98,08/07/2020,08/01/2021,28.13,16/01/2021,5,0.5384,0.0158,0.4458,1,1,0
TRPL4,12/01/2021,27.49,09/07/2020,09/01/2021,28.07,19/01/2021,5,0.5496,0.0162,0.4343,1,1,1
TRPL4,13/01/2021,28.2,10/07/2020,12/01/2021,27.97,20/01/2021,5,0.5384,0.0158,0.4458,0,0,0
TRPL4,14/01/2021,28.26,11/07/2020,13/01/2021,27.53,21/01/2021,5,0.5496,0.0162,0.4343,0,0,0
TRPL4,15/01/2021,28.24,14/07/2020,14/01/2021,27.02,28/01/2021,8,0.5549,0.0161,0.4291,0,0,0
TRPL4,16/01/2021,28.13,15/07/2020,15/01/2021,27.1,23/01/2021,5,0.5384,0.0158,0.4458,0,0,0
TRPL4,19/01/2021,28.07,16/07/2020,16/01/2021,26.03,05/02/2021,12,0.5339,0.0120,0.4542,0,0,0
TRPL4,20/01/2021,27.97,17/07/2020,19/01/2021,27.02,28/01/2021,5,0.5317,0.0079,0.4604,0,0,0
TRPL4,21/01/2021,27.53,18/07/2020,20/01/2021,26.34,03/02/2021,8,0.5271,0.0079,0.4650,0,0,0
TRPL4,22/01/2021,27.31,21/07/2020,21/01/2021,26.51,04/02/2021,8,0.5191,0.0079,0.4731,-1,-1,-1
TRPL4,23/01/2021,27.1,22/07/2020,22/01/2021,26.03,05/02/2021,8,0.5111,0.0079,0.4811,-1,-1,-1
TRPL4,27/01/2021,26.92,23/07/2020,23/01/2021,26.34,03/02/2021,5,0.5075,0.0079,0.4846,-1,-1,-1
TRPL4,28/01/2021,27.02,24/07/2020,27/01/2021,25.97,09/02/2021,8,0.5027,0.0079,0.4894,-1,-1,-1
TRPL4,29/01/2021,26.93,25/07/2020,28/01/2021,25.77,10/02/2021,8,0.5120,0.0080,0.4800,-1,-1,-1
TRPL4,30/01/2021,26.35,28/07/2020,29/01/2021,26.07,06/02/2021,5,0.4995,0.0079,0.4926,-1,-1,-1
